source,target,relationship
DTC001,FAULT001,CAUSES
DTC002,FAULT002,CAUSES
DTC003,FAULT003,CAUSES
DTC004,FAULT004,CAUSES
DTC005,FAULT005,CAUSES
DTC006,FAULT006,CAUSES
DTC007,FAULT007,CAUSES
DTC008,FAULT008,CAUSES
DTC009,FAULT009,CAUSES
DTC010,FAULT010,CAUSES
DTC011,FAULT011,CAUSES
DTC012,FAULT012,CAUSES
DTC013,FAULT013,CAUSES
DTC014,FAULT014,CAUSES
DTC015,FAULT015,CAUSES
DTC016,FAULT016,CAUSES
DTC017,FAULT017,CAUSES
DTC018,FAULT018,CAUSES
DTC019,FAULT019,CAUSES
DTC020,FAULT020,CAUSES
DTC021,FAULT021,CAUSES
DTC022,FAULT022,CAUSES
DTC023,FAULT023,CAUSES
DTC024,FAULT024,CAUSES
DTC025,FAULT025,CAUSES
DTC026,FAULT026,CAUSES
DTC027,FAULT027,CAUSES
