source,target,relationship
ECU001,SIG001,CONTROLS
ECU001,SIG006,CONTROLS
ECU001,SIG011,CONTROLS
ECU001,SIG012,CONTROLS
ECU001,SIG014,CONTROLS
ECU002,SIG016,CONTROLS
ECU002,SIG017,CONTROLS
ECU002,SIG018,CONTROLS
ECU002,SIG019,CONTROLS
ECU002,SIG020,CONTROLS
ECU002,SIG021,CONTROLS
ECU002,SIG022,CONTROLS
ECU002,SIG023,CONTROLS
ECU002,SIG009,CONTROLS
ECU003,SIG010,CONTROLS
ECU004,SIG002,CONTROLS
ECU005,SIG007,CONTROLS
ECU006,SIG003,CONTROLS
ECU006,SIG004,CONTROLS
ECU006,SIG008,CONTROLS
ECU007,SIG005,CONTROLS
ECU007,SIG013,CONTROLS
ECU008,SIG015,CONTROLS
