source,target,relationship
REQ001,SIG016,MAPS_TO
REQ002,SIG016,MAPS_TO
REQ003,SIG017,MAPS_TO
REQ004,SIG018,MAPS_TO
REQ005,SIG018,MAPS_TO
REQ006,SIG019,MAPS_TO
REQ007,SIG019,MAPS_TO
REQ008,SIG020,MAPS_TO
REQ009,SIG020,MAPS_TO
REQ010,SIG023,MAPS_TO
REQ011,SIG001,MAPS_TO
REQ012,SIG002,MAPS_TO
REQ013,SIG003,MAPS_TO
REQ014,SIG010,MAPS_TO
REQ015,SIG005,MAPS_TO
REQ016,SIG004,MAPS_TO
REQ017,SIG006,MAPS_TO
REQ018,SIG007,MAPS_TO
REQ019,SIG008,MAPS_TO
REQ020,SIG009,MAPS_TO
REQ021,SIG011,MAPS_TO
REQ022,SIG012,MAPS_TO
REQ023,SIG013,MAPS_TO
REQ024,SIG014,MAPS_TO
REQ025,SIG015,MAPS_TO
REQ026,SIG021,MAPS_TO
REQ027,SIG022,MAPS_TO
