source,target,relationship
REQ001,TC001,VERIFIED_BY
REQ002,TC002,VERIFIED_BY
REQ003,TC003,VERIFIED_BY
REQ004,TC004,VERIFIED_BY
REQ005,TC005,VERIFIED_BY
REQ006,TC006,VERIFIED_BY
REQ007,TC007,VERIFIED_BY
REQ008,TC008,VERIFIED_BY
REQ009,TC009,VERIFIED_BY
REQ010,TC010,VERIFIED_BY
REQ011,TC011,VERIFIED_BY
REQ012,TC012,VERIFIED_BY
REQ013,TC013,VERIFIED_BY
REQ014,TC014,VERIFIED_BY
REQ015,TC015,VERIFIED_BY
REQ016,TC016,VERIFIED_BY
REQ017,TC017,VERIFIED_BY
REQ018,TC018,VERIFIED_BY
REQ019,TC019,VERIFIED_BY
REQ020,TC020,VERIFIED_BY
REQ021,TC021,VERIFIED_BY
REQ022,TC022,VERIFIED_BY
REQ023,TC023,VERIFIED_BY
REQ024,TC024,VERIFIED_BY
REQ025,TC025,VERIFIED_BY
REQ026,TC026,VERIFIED_BY
REQ027,TC027,VERIFIED_BY
