source,target,relationship
RC001,ACT001,RESOLVED_BY
RC002,ACT004,RESOLVED_BY
RC002,ACT010,RESOLVED_BY
RC003,ACT005,RESOLVED_BY
RC004,ACT002,RESOLVED_BY
RC005,ACT006,RESOLVED_BY
RC006,ACT004,RESOLVED_BY
RC006,ACT010,RESOLVED_BY
RC007,ACT003,RESOLVED_BY
RC008,ACT008,RESOLVED_BY
RC009,ACT007,RESOLVED_BY
RC010,ACT009,RESOLVED_BY
RC011,ACT011,RESOLVED_BY
RC012,ACT012,RESOLVED_BY
RC013,ACT013,RESOLVED_BY
RC014,ACT014,RESOLVED_BY
RC015,ACT015,RESOLVED_BY
RC016,ACT016,RESOLVED_BY
RC017,ACT017,RESOLVED_BY
RC018,ACT018,RESOLVED_BY
RC019,ACT019,RESOLVED_BY
RC020,ACT020,RESOLVED_BY
RC021,ACT021,RESOLVED_BY
RC022,ACT022,RESOLVED_BY
RC023,ACT023,RESOLVED_BY
RC024,ACT024,RESOLVED_BY
RC025,ACT025,RESOLVED_BY
RC026,ACT026,RESOLVED_BY
RC027,ACT027,RESOLVED_BY
