source,target,relationship
SIG016,CAL001,GOVERNED_BY
SIG016,CAL002,GOVERNED_BY
SIG017,CAL003,GOVERNED_BY
SIG018,CAL004,GOVERNED_BY
SIG018,CAL005,GOVERNED_BY
SIG019,CAL006,GOVERNED_BY
SIG019,CAL007,GOVERNED_BY
SIG020,CAL008,GOVERNED_BY
SIG020,CAL009,GOVERNED_BY
SIG023,CAL010,GOVERNED_BY
SIG001,CAL011,GOVERNED_BY
SIG002,CAL012,GOVERNED_BY
SIG003,CAL013,GOVERNED_BY
SIG010,CAL014,GOVERNED_BY
SIG005,CAL015,GOVERNED_BY
SIG004,CAL016,GOVERNED_BY
SIG006,CAL017,GOVERNED_BY
SIG007,CAL018,GOVERNED_BY
SIG008,CAL019,GOVERNED_BY
SIG009,CAL020,GOVERNED_BY
SIG011,CAL021,GOVERNED_BY
SIG012,CAL022,GOVERNED_BY
SIG013,CAL023,GOVERNED_BY
SIG014,CAL024,GOVERNED_BY
SIG015,CAL025,GOVERNED_BY
SIG021,CAL026,GOVERNED_BY
SIG022,CAL027,GOVERNED_BY
