source,target,relationship
SIG016,DTC001,TRIGGERS
SIG016,DTC002,TRIGGERS
SIG017,DTC003,TRIGGERS
SIG018,DTC004,TRIGGERS
SIG018,DTC005,TRIGGERS
SIG019,DTC006,TRIGGERS
SIG019,DTC007,TRIGGERS
SIG020,DTC008,TRIGGERS
SIG020,DTC009,TRIGGERS
SIG023,DTC010,TRIGGERS
SIG001,DTC011,TRIGGERS
SIG002,DTC012,TRIGGERS
SIG003,DTC013,TRIGGERS
SIG010,DTC014,TRIGGERS
SIG005,DTC015,TRIGGERS
SIG004,DTC016,TRIGGERS
SIG006,DTC017,TRIGGERS
SIG007,DTC018,TRIGGERS
SIG008,DTC019,TRIGGERS
SIG009,DTC020,TRIGGERS
SIG011,DTC021,TRIGGERS
SIG012,DTC022,TRIGGERS
SIG013,DTC023,TRIGGERS
SIG014,DTC024,TRIGGERS
SIG015,DTC025,TRIGGERS
SIG021,DTC026,TRIGGERS
SIG022,DTC027,TRIGGERS
